age,gender,ethnicity,priors_count,charge_severity,decile_score,recidivism,country,cluster,pca1,pca2
53,Male,African-American,5,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
60,Male,Hispanic,4,1,1,0,Brazil,0,-10.954484877497906,12.2286804464062
30,Male,African-American,0,1,4,0,Nigeria,0,-46.68282486694604,-11.414853507650276
20,Male,African-American,2,1,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
50,Male,African-American,0,1,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,African-American,0,1,9,0,Ghana,0,-39.34383608951236,-0.300683459588528
37,Male,Hispanic,0,0,1,0,Spain,1,21.28767962005639,24.26151435635069
54,Male,Caucasian,6,1,1,0,Turkey,0,-1.0718220494459385,21.829144866124885
23,Male,African-American,2,0,3,1,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,Caucasian,5,1,7,1,Germany,1,43.806194382924325,0.9500192550843528
58,Male,African-American,38,1,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,African-American,1,0,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,African-American,9,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
31,Male,African-American,0,1,3,0,Ghana,0,-39.34383608951236,-0.300683459588528
33,Male,Caucasian,0,1,2,0,Norway,1,47.786863729117535,-13.981413841687583
21,Male,African-American,0,0,4,0,Nigeria,0,-46.68282486694604,-11.414853507650276
32,Male,African-American,0,1,1,1,Nigeria,0,-46.68282486694604,-11.414853507650276
38,Male,African-American,0,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,African-American,3,1,10,1,Nigeria,0,-46.68282486694604,-11.414853507650276
26,Male,African-American,4,1,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
54,Male,Other,2,0,1,0,Saudi Arabia,0,-2.8107724662211027,3.629875664626517
31,Male,Hispanic,19,1,7,1,Mexico,0,-19.49759326883606,20.541445557669004
45,Male,Caucasian,2,1,1,0,USA,1,25.43683117763648,-19.27406840457623
40,Female,African-American,2,0,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
28,Male,African-American,1,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
45,Male,Caucasian,1,0,1,0,Germany,1,43.806194382924325,0.9500192550843528
23,Male,African-American,0,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
44,Female,Caucasian,11,1,7,1,Canada,1,35.83177757108504,-15.505969796835672
51,Male,Other,14,1,4,1,Indonesia,0,-41.4182672672213,-17.70168411169513
22,Female,African-American,3,0,9,0,Ghana,0,-39.34383608951236,-0.300683459588528
48,Male,Caucasian,1,1,2,0,USA,1,25.43683117763648,-19.27406840457623
26,Male,African-American,9,0,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
31,Male,Caucasian,1,1,3,1,Canada,1,35.83177757108504,-15.505969796835672
39,Male,Caucasian,3,1,3,0,Norway,1,47.786863729117535,-13.981413841687583
20,Male,African-American,0,1,8,0,Nigeria,0,-46.68282486694604,-11.414853507650276
33,Male,Caucasian,0,1,2,1,Germany,1,43.806194382924325,0.9500192550843528
29,Male,Caucasian,2,1,3,0,Norway,1,47.786863729117535,-13.981413841687583
31,Male,African-American,0,0,2,0,Ghana,0,-39.34383608951236,-0.300683459588528
52,Female,Caucasian,23,1,7,1,Turkey,0,-1.0718220494459385,21.829144866124885
21,Male,African-American,0,1,5,1,Ghana,0,-39.34383608951236,-0.300683459588528
51,Female,Caucasian,2,1,8,1,Canada,1,35.83177757108504,-15.505969796835672
47,Male,African-American,14,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
42,Male,African-American,17,0,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
45,Male,Hispanic,1,1,3,0,Brazil,0,-10.954484877497906,12.2286804464062
31,Male,African-American,5,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
31,Male,African-American,13,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,African-American,15,1,9,1,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,African-American,1,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
25,Male,African-American,1,1,3,0,Ghana,0,-39.34383608951236,-0.300683459588528
32,Male,African-American,14,1,9,0,Nigeria,0,-46.68282486694604,-11.414853507650276
